TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
70,60,20,20,6583,9102,1980,212,Energiesparen ,2022-01-07 14:56:41.618002
70,50,20,20,6591,9134,1983,212,Energiesparen ,2022-01-11 09:52:39.624482
70,50,20,20,6591,9134,1983,212,Energiesparen ,2022-01-11 10:10:59.302318
70,50,20,20,6591,9136,1984,212,Bereit,2022-01-11 10:15:28.473246
70,50,10,10,6591,9141,1985,212,Energiesparen ,2022-01-11 12:06:34.057450
70,50,10,10,6591,9141,1985,212,Energiesparen ,2022-01-11 15:30:58.413307
70,50,10,10,6591,9142,1987,212,Energiesparen ,2022-01-12 08:20:05.161094
70,50,10,10,6591,9142,1987,212,Energiesparen ,2022-01-12 10:46:57.399216
70,50,10,10,6593,9144,1987,212,Energiesparen ,2022-01-12 11:22:39.963520
70,50,10,10,6593,9144,1987,212,Energiesparen ,2022-01-12 12:37:48.845076
70,50,10,10,6593,9147,1987,212,Energiesparen ,2022-01-12 13:55:48.090953
70,50,10,10,6595,9168,1987,212,Wenig Toner :Y,2022-01-12 14:30:36.147023
70,50,10,10,6595,9168,1987,212,Wenig Toner :Y,2022-01-12 16:22:42.042478
70,50,10,10,6595,9176,1987,212,Wenig Toner :Y,2022-01-13 09:55:47.654456
70,50,10,10,6595,9179,1987,212,Wenig Toner :Y,2022-01-13 11:58:21.265643
70,50,10,10,6595,9179,1988,212,Wenig Toner :Y,2022-01-13 13:42:58.501963
70,50,10,10,6595,9181,1988,212,Wenig Toner :Y,2022-01-13 14:18:05.600372
70,50,10,10,6595,9182,1989,212,Wenig Toner :Y,2022-01-13 14:54:02.014786
70,50,10,10,6599,9184,1989,212,Wenig Toner :Y,2022-01-13 15:29:47.533892
70,50,10,10,6599,9184,1989,212,Wenig Toner :Y,2022-01-13 16:06:04.924501
70,50,10,10,6599,9196,1989,212,Wenig Toner :Y,2022-01-14 11:01:34.778865
70,50,10,10,6601,9196,1989,212,Wenig Toner :Y,2022-01-14 13:26:08.115715
70,50,10,10,6601,9197,1989,212,Wenig Toner :Y,2022-01-14 14:03:02.933017
70,50,10,10,6601,9203,1993,212,Wenig Toner :M,2022-01-14 14:38:20.706290
70,50,10,10,6601,9208,1995,212,Wenig Toner :M,2022-01-17 12:20:49.830213
70,50,10,10,6601,9208,1995,212,Wenig Toner :M,2022-01-17 13:30:51.239677
70,50,10,10,6601,9213,1995,212,Wenig Toner :M,2022-01-17 14:03:00.268956
70,50,10,10,6601,9222,1995,212,Wenig Toner :M,2022-01-17 14:38:10.681606
70,50,10,10,6601,9225,1995,212,Wenig Toner :M,2022-01-17 15:13:32.728471
70,50,10,10,6601,9225,1997,212,Wenig Toner :M,2022-01-17 16:23:54.671258
70,50,10,10,6601,9226,1997,212,Wenig Toner :M,2022-01-18 09:57:15.459402
70,50,10,10,6608,9230,1997,212,Wenig Toner :M,2022-01-18 14:36:18.826807
70,50,10,10,6608,9234,1997,212,Wenig Toner :M,2022-01-18 15:10:58.197456
70,50,10,10,6608,9234,1998,212,Wenig Toner :M,2022-01-19 07:46:16.215995
70,50,10,10,6608,9237,1998,212,Wenig Toner :M,2022-01-19 08:59:46.753683
70,50,10,10,6612,9273,1998,212,Wenig Toner :M,2022-01-20 08:58:40.799656
60,50,10,10,6612,9275,1998,212,Wenig Toner :M,2022-01-20 09:33:18.718658
60,50,10,10,6613,9275,1998,212,Wenig Toner :M,2022-01-20 10:02:05.657382
60,50,10,10,6613,9276,1998,212,Wenig Toner :M,2022-01-20 10:37:25.802868
60,50,100,100,6613,9287,1998,212,Energiesparen ,2022-01-20 14:10:11.073670
60,50,100,100,6615,9290,1998,212,Energiesparen ,2022-01-20 14:45:25.485100
60,50,100,100,6615,9291,1998,212,Energiesparen ,2022-01-20 16:30:08.667897
60,50,100,100,6615,9291,2019,212,Energiesparen ,2022-01-21 13:50:18.483959
60,50,100,100,6615,9293,2019,212,Energiesparen ,2022-01-21 14:59:54.914679
60,50,100,100,6615,9297,2020,212,Energiesparen ,2022-01-24 08:30:43.571810
60,50,100,100,6615,9319,2020,217,Energiesparen ,2022-01-24 09:05:26.080890
60,50,100,100,6615,9320,2020,217,Bitte warten,2022-01-24 09:40:13.992707
60,50,100,100,6615,9323,2021,217,Energiesparen ,2022-01-24 10:14:52.081469
60,50,100,100,6615,9325,2022,217,Energiesparen ,2022-01-24 12:15:53.516781
60,50,100,100,6615,9326,2022,217,Energiesparen ,2022-01-24 12:50:32.081824
