TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
16,NaN,NaN,NaN,21262,NaN,232283,NaN,Das schmale Belichtungsglas reinigen.,2022-03-08 09:50:14.400691
13,NaN,NaN,NaN,21871,NaN,232975,NaN,Ruhemodus...,2022-03-16 11:18:04.603325
13,NaN,NaN,NaN,21871,NaN,232975,NaN, 2E,2022-03-16 11:23:04.971966
13,NaN,NaN,NaN,21871,NaN,232978,NaN,Energiesparmodus,2022-03-16 11:33:04.661041
13,NaN,NaN,NaN,21871,NaN,232978,NaN,Ruhemodus...,2022-03-16 13:48:07.791355
13,NaN,NaN,NaN,21872,NaN,232978,NaN,Ruhemodus...,2022-03-16 14:33:07.875465
13,NaN,NaN,NaN,21872,NaN,232981,NaN,Bereit,2022-03-16 14:38:09.370439
13,NaN,NaN,NaN,21872,NaN,232981,NaN,Ruhemodus...,2022-03-16 16:28:23.808129
13,NaN,NaN,NaN,21873,NaN,232981,NaN,Ruhemodus...,2022-03-17 09:10:21.430621
13,NaN,NaN,NaN,21873,NaN,232982,NaN,Bereit,2022-03-17 09:15:17.533916
13,NaN,NaN,NaN,21873,NaN,232982,NaN,Energiesparmodus,2022-03-17 09:20:19.477242
13,NaN,NaN,NaN,21873,NaN,232982,NaN,Ruhemodus...,2022-03-17 09:40:17.918125
13,NaN,NaN,NaN,21873,NaN,232983,NaN,Bereit,2022-03-17 09:45:20.329482
13,NaN,NaN,NaN,21873,NaN,232983,NaN,Energiesparmodus,2022-03-17 09:50:18.152082
13,NaN,NaN,NaN,21874,NaN,232983,NaN,Bereit,2022-03-17 09:55:18.252228
13,NaN,NaN,NaN,21875,NaN,232983,NaN,Bereit,2022-03-17 10:00:18.013579
12,NaN,NaN,NaN,21895,NaN,232983,NaN,Energiesparmodus,2022-03-17 10:10:22.197341
12,NaN,NaN,NaN,21896,NaN,232983,NaN,Ruhemodus...,2022-03-17 10:15:19.381609
12,NaN,NaN,NaN,21980,NaN,232983,NaN,Ruhemodus...,2022-03-17 13:15:25.600990
12,NaN,NaN,NaN,21989,NaN,232983,NaN,Ruhemodus...,2022-03-17 13:25:26.159272
12,NaN,NaN,NaN,21990,NaN,232983,NaN,Ruhemodus...,2022-03-17 13:45:26.415995
12,NaN,NaN,NaN,21992,NaN,232983,NaN,42 65 69 6D 20 41 7,2022-03-17 13:50:26.192126
12,NaN,NaN,NaN,21992,NaN,232983,NaN,Bei dem Auftrag ist ein Fehler aufgetreten. Kassette 1 ist leer.,2022-03-17 14:05:28.832046
12,NaN,NaN,NaN,21993,NaN,232984,NaN,Bereit,2022-03-17 14:10:27.486343
12,NaN,NaN,NaN,22002,NaN,232984,NaN,Bereit,2022-03-17 14:15:26.922655
12,NaN,NaN,NaN,22002,NaN,232984,NaN,Energiesparmodus,2022-03-17 14:20:27.089973
12,NaN,NaN,NaN,22002,NaN,232984,NaN,Ruhemodus...,2022-03-17 14:45:27.306036
12,NaN,NaN,NaN,22002,NaN,233028,NaN,Bereit,2022-03-17 14:50:28.222223
12,NaN,NaN,NaN,22002,NaN,233028,NaN,Energiesparmodus,2022-03-17 14:55:27.374786
12,NaN,NaN,NaN,22002,NaN,233028,NaN,Ruhemodus...,2022-03-17 15:10:28.673017
12,NaN,NaN,NaN,22002,NaN,233028,NaN,"56 6F 72 62 65 72 65 69 74 75 6E 67 20 66 C3 BC 
72 20 44 72 75 63 6B 2E 2E 2E",2022-03-17 15:15:28.658120
12,NaN,NaN,NaN,22002,NaN,233028,NaN,Energiesparmodus,2022-03-17 15:20:27.812869
12,NaN,NaN,NaN,22002,NaN,233028,NaN,Ruhemodus...,2022-03-17 16:35:35.821037
12,NaN,NaN,NaN,22013,NaN,233206,NaN,Es wird gedruckt,2022-03-18 14:31:49.939442
12,NaN,NaN,NaN,22013,NaN,233212,NaN,Energiesparmodus,2022-03-18 14:41:50.279524
12,NaN,NaN,NaN,22013,NaN,233212,NaN,Ruhemodus...,2022-03-18 14:56:55.754781
12,NaN,NaN,NaN,22015,NaN,233212,NaN,Ruhemodus...,2022-03-18 15:16:55.001800
12,NaN,NaN,NaN,22016,NaN,233215,NaN,Ruhemodus...,2022-03-21 08:35:41.475525
12,NaN,NaN,NaN,22021,NaN,233215,NaN,Ruhemodus...,2022-03-21 08:40:42.504189
12,NaN,NaN,NaN,22025,NaN,233231,NaN,Bereit,2022-03-21 08:45:42.782689
12,NaN,NaN,NaN,22027,NaN,233231,NaN,Ruhemodus...,2022-03-21 09:25:43.941172
12,NaN,NaN,NaN,22029,NaN,233231,NaN,Ruhemodus...,2022-03-21 11:35:44.386332
12,NaN,NaN,NaN,22032,NaN,233243,NaN,Bereit,2022-03-21 11:40:44.574313
12,NaN,NaN,NaN,22032,NaN,233255,NaN,Ruhemodus...,2022-03-21 13:20:46.418264
12,NaN,NaN,NaN,22032,NaN,233275,NaN,Es wird gedruckt,2022-03-21 13:25:46.190672
12,NaN,NaN,NaN,22032,NaN,233303,NaN,Ruhemodus...,2022-03-21 13:30:46.215552
11,NaN,NaN,NaN,22032,NaN,233333,NaN,Ruhemodus...,2022-03-21 13:55:46.781520
11,NaN,NaN,NaN,22033,NaN,233333,NaN,Ruhemodus...,2022-03-21 14:05:50.052560
11,NaN,NaN,NaN,22041,NaN,233333,NaN,Ruhemodus...,2022-03-21 14:10:48.211869
