TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
90,40,40,40,11637,16037,6412,1888,Trom. ersetz :BK,2021-12-30 13:41:08.173301
90,40,40,40,11637,16048,6412,1888,Trom. ersetz :BK,2021-12-30 15:18:52.344965
90,40,40,40,11637,16052,6412,1888,Trom. ersetz :BK,2021-12-30 15:48:52.235786
90,40,40,40,11637,16053,6412,1888,Trom. ersetz :BK,2022-01-03 08:29:41.910557
90,40,40,40,11637,16069,6412,1888,Trom. ersetz :BK,2022-01-03 09:30:23.472182
90,40,40,40,11637,16077,6412,1888,Trom. ersetz :BK,2022-01-03 10:30:35.961259
90,40,40,40,11638,16080,6412,1888,Trom. ersetz :BK,2022-01-03 11:00:36.639059
90,40,40,40,11639,16081,6412,1888,Trom. ersetz :BK,2022-01-03 11:30:35.754928
90,40,40,40,11639,16082,6412,1888,Trom. ersetz :BK,2022-01-03 13:25:21.656363
90,30,30,30,11639,16096,6412,1888,Trom. ersetz :BK,2022-01-03 13:55:21.563792
90,30,30,30,11639,16098,6412,1888,Trom. ersetz :BK,2022-01-03 14:25:21.692061
90,30,30,30,11639,16112,6412,1888,Trom. ersetz :BK,2022-01-03 15:25:24.108625
90,30,30,30,11639,16113,6412,1888,Trom. ersetz :BK,2022-01-03 16:04:44.735928
90,30,30,30,11639,16117,6412,1888,Trom. ersetz :BK,2022-01-03 16:34:44.427256
90,30,30,30,11640,16128,6412,1888,Trom. ersetz :BK,2022-01-04 09:03:12.465290
90,30,30,30,11640,16128,6412,1888,Trom. ersetz :BK,2022-01-04 09:46:23.607313
90,30,30,30,11640,16130,6412,1889,Trom. ersetz :BK,2022-01-04 10:16:28.204333
80,20,20,20,11668,16224,6415,1895,Trom. ersetz :BK,2022-01-05 12:40:32.459067
80,20,20,20,11707,16245,6426,1895,Trom. ersetz :BK,2022-01-06 12:29:00.570443
80,20,20,20,11707,16245,6426,1895,Trom. ersetz :BK,2022-01-06 13:00:44.023627
80,20,20,20,11707,16245,6426,1895,Bitte warten,2022-01-06 13:34:05.842773
80,20,20,20,11710,16271,6426,1895,Trom. ersetz :BK,2022-01-06 14:04:05.892768
80,20,20,20,11710,16272,6426,1895,Trom. ersetz :BK,2022-01-06 14:34:07.014085
80,20,20,20,11711,16284,6426,1895,Trom. ersetz :BK,2022-01-06 15:04:08.313385
80,10,10,10,11711,16298,6426,1895,Trom. ersetz :BK,2022-01-06 15:34:09.073186
80,10,10,10,11711,16299,6426,1895,Trom. ersetz :BK,2022-01-06 16:04:11.925942
70,10,10,10,11730,16333,6450,1895,Trom. ersetz :BK,2022-01-07 11:32:57.863746
70,10,10,10,11732,16339,6450,1895,Trom. ersetz :BK,2022-01-07 12:20:09.391602
70,10,10,10,11732,16339,6450,1895,Trom. ersetz :BK,2022-01-07 13:10:44.583289
70,10,10,10,11732,16343,6450,1895,Trom. ersetz :BK,2022-01-07 13:50:29.631374
70,10,10,10,11732,16344,6450,1895,Trom. ersetz :BK,2022-01-07 14:00:17.764303
70,10,10,10,11732,16345,6450,1895,Trom. ersetz :BK,2022-01-07 14:11:06.164441
70,10,10,10,11732,16348,6450,1895,Trom. ersetz :BK,2022-01-07 14:55:28.426744
70,10,10,0,11766,16374,6463,1901,Trom. ersetz :BK,2022-01-11 09:51:45.428372
