TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
83,32,77,56,170071,132883,93333,13677,Energiesparmodus,2022-03-16 10:59:13.674140
83,32,77,56,170071,132883,93333,13677,Ruhemodus...,2022-03-16 11:04:13.733838
83,32,77,56,170071,132885,93333,13677,Ruhemodus...,2022-03-16 11:14:31.915807
83,32,77,56,170071,132889,93333,13677,Ruhemodus...,2022-03-16 11:24:10.193429
83,32,77,56,170071,132899,93333,13677,Ruhemodus...,2022-03-16 11:29:11.898543
83,32,77,56,170071,132901,93340,13677,Bereit,2022-03-16 11:34:09.574049
83,32,77,56,170071,132901,93340,13677,Energiesparmodus,2022-03-16 11:39:08.309691
83,32,77,56,170071,132902,93340,13677,Bereit,2022-03-16 11:44:07.917661
83,32,77,56,170071,132902,93340,13677,Energiesparmodus,2022-03-16 11:49:09.755602
83,32,77,56,170071,132902,93340,13677,Ruhemodus...,2022-03-16 12:19:12.181347
83,32,77,56,170071,132905,93340,13677,Ruhemodus...,2022-03-16 12:24:12.741561
83,32,77,56,170071,132908,93340,13677,Ruhemodus...,2022-03-16 12:39:12.797532
83,32,77,56,170071,132909,93341,13677,Bereit,2022-03-16 12:44:38.595798
83,32,77,56,170071,132909,93341,13677,Energiesparmodus,2022-03-16 12:49:12.817215
83,32,77,56,170071,132909,93341,13677,Ruhemodus...,2022-03-16 12:54:09.866828
83,32,77,56,170071,132910,93341,13677,Ruhemodus...,2022-03-16 12:59:10.901551
83,32,77,56,170071,132914,93341,13677,Ruhemodus...,2022-03-16 13:09:10.681338
83,32,77,56,170071,132915,93342,13677,Bereit,2022-03-16 13:14:12.652705
83,32,77,56,170071,132915,93342,13677,Energiesparmodus,2022-03-16 13:29:14.571502
83,32,77,56,170071,132919,93342,13677,Ruhemodus...,2022-03-16 13:34:10.667931
83,32,77,56,170071,132923,93342,13677,Ruhemodus...,2022-03-16 13:39:10.181195
83,32,77,56,170071,132923,93342,13677,Es wird gedruckt,2022-03-16 13:44:13.019692
83,32,77,56,170071,132923,93344,13677,Es wird gedruckt,2022-03-16 13:49:21.419623
83,32,77,56,170071,132927,93344,13677,Bereit,2022-03-16 13:54:12.914718
83,32,77,56,170071,132929,93344,13677,Energiesparmodus,2022-03-16 14:04:19.402144
83,32,77,56,170071,132933,93344,13677,Energiesparmodus,2022-03-16 14:14:12.508515
83,32,77,56,170071,132941,93344,13677,Energiesparmodus,2022-03-16 14:19:16.428058
83,32,77,56,170071,132942,93344,13677,Bereit,2022-03-16 14:24:33.518375
83,32,77,56,170071,132943,93344,13677,Bereit,2022-03-16 14:29:13.231250
83,32,77,56,170071,132943,93344,13677,Energiesparmodus,2022-03-16 14:34:13.146092
83,32,77,56,170071,132943,93344,13677,Ruhemodus...,2022-03-16 14:39:13.593880
83,32,77,56,170071,132949,93344,13677,Ruhemodus...,2022-03-16 14:54:28.715836
83,32,77,56,170072,132954,93344,13677,Ruhemodus...,2022-03-16 14:59:23.023154
83,32,77,56,170072,132956,93344,13677,Ruhemodus...,2022-03-16 15:14:28.709895
83,32,77,56,170072,132956,93353,13677,Bereit,2022-03-16 15:19:29.434137
83,32,77,56,170072,132956,93367,13677,Bereit,2022-03-16 15:24:23.550090
83,32,77,56,170072,132956,93367,13677,Energiesparmodus,2022-03-16 15:29:25.574140
83,32,77,56,170072,132956,93367,13677,Ruhemodus...,2022-03-16 15:44:30.535237
83,32,77,56,170072,132957,93368,13677,Bereit,2022-03-16 15:49:26.908485
83,32,77,56,170072,132957,93368,13677,Energiesparmodus,2022-03-16 15:54:29.878776
83,32,77,56,170072,132957,93368,13677,Ruhemodus...,2022-03-16 15:59:25.770575
83,32,77,56,170072,132958,93368,13677,Ruhemodus...,2022-03-16 16:24:23.904917
83,32,77,56,170072,132958,93368,13677,56 6F 72 62 65 7,2022-03-16 16:29:23.934618
79,31,76,54,170096,133428,93761,13679,Energiesparmodus,2022-03-22 14:22:10.061081
