Serial_No,IP,Manufacture,Model,Time_Stamp
E74552K5J157940,172.20.10.94,Brother,MFC-9142CDN,2022-05-04 14:36:00.258026
E79028F1N485578,172.20.10.59,Brother,MFC-L3750CDW,2022-07-13 08:42:17.763358
LW16945225,172.20.20.71,Kyocera,ECOSYS M2535dn,2022-07-13 08:42:18.053480
E79032E1N463928,172.20.12.189,Brother,MFC-L3770CDW,2022-07-12 15:25:39.179885
R4Q8X09105,172.20.20.94,Kyocera,ECOSYS M3655idn,2022-07-13 08:42:24.359904
L875533842,172.20.20.75,Kyocera,TASKalfa 3051ci,2022-07-13 08:42:24.967216
E79028J1N561453,172.20.10.51,Brother,MFC-L3750CDW,2022-07-04 16:17:27.283539
W2J8718679,172.20.10.88,Kyocera,TASKalfa 5052ci,2022-07-13 08:42:31.152768
N2E3508435,172.20.10.99,Kyocera,TASKalfa 4550ci,2022-04-21 14:56:10.286059
RC68600478,172.20.10.58,Kyocera,ECOSYS M6635cidn,2022-07-13 08:42:37.360677
VNN8710351,172.20.10.113,Kyocera,TASKalfa 4002i,2022-07-13 08:42:37.612412
RC69604720,172.20.20.28,Kyocera,ECOSYS M6635cidn,2022-07-13 08:42:37.952476
RC69604927,172.20.20.88,Kyocera,ECOSYS M6635cidn,2022-07-13 08:42:38.444987
E71809E4J366792,172.20.10.130,Brother,MFC-9140CDN,2022-07-13 08:42:39.975238
E74554L7J579217,172.20.10.103,Brother,MFC-9332CDW,2022-07-13 08:42:41.579153
E73473G5J239722,172.20.15.170,Brother,MFC-L8650CDW,2022-07-13 08:42:41.993339
E79028H1N561157,172.20.10.117,Brother,MFC-L3750CDW,2022-07-13 08:42:42.183435
E79028J1N561471,172.20.10.66,Brother,MFC-L3750CDW,2022-07-13 08:42:42.392181
E79015H9N609677,172.20.10.132,Brother,DCP-L3510CDW,2022-01-14 14:37:44.872240
E69498M0J145493,172.20.10.111,Brother,MFC-9460CDN,2022-07-13 08:43:00.160892
RC61513399,172.20.10.108,Kyocera,ECOSYS M6635cidn,2022-07-13 08:43:00.519996
E69498K0J129772,172.20.10.104,Brother,MFC-9460CDN,2022-07-13 08:38:10.410628
E79028H9N631619,172.20.10.71,Brother,MFC-L3750CDW,2022-07-13 08:38:10.622067
E79028J1N561477,172.20.10.79,Brother,MFC-L3750CDW,2022-07-13 08:38:10.810839
E74552K5J157950,172.20.10.127,Brother,MFC-9142CDN,2022-07-13 08:38:12.553226
E79028J1N561476,172.20.10.95,Brother,MFC-L3750CDW,2022-07-13 08:38:12.766879
RC60609776,172.20.10.131,Kyocera,ECOSYS M6635cidn,2022-07-13 08:38:13.033719
E79028J1N561465,172.20.10.121,Brother,MFC-L3750CDW,2022-07-13 08:38:13.244058
QQX9600567,172.20.10.97,Kyocera,FS-1028MFP,2022-07-13 08:38:13.340845
E74552K4J513105,172.20.10.102,Brother,MFC-9142CDN,2022-07-13 08:38:15.089790
E69498J2J353611,172.20.10.89,Brother,MFC-9460CDN,2022-07-12 16:37:37.830601
E74552E7J196433,172.20.10.105,Brother,MFC-9142CDN,2022-02-02 09:00:09.136499
E79028D1N435099,172.20.10.98,Brother,MFC-L3750CDW,2022-07-07 10:53:18.968446
E79015J0N198441,172.20.20.86,Brother,DCP-L3510CDW,2022-07-13 08:18:21.719440
E74555D8J820292,172.20.22.192,Brother,MFC-9342CDW,2022-07-13 08:38:42.486322
E74552J7J439390,172.20.10.94,Brother,MFC-9142CDN,2022-07-13 08:42:17.424441
E74555M7J635297,172.20.10.125,Brother,MFC-9342CDW,2022-07-13 08:38:45.996157
W2J8718286,172.20.20.76,Kyocera,TASKalfa 5052ci,2022-07-13 08:38:46.382269
E79028J0N207300,172.20.22.180,Brother,MFC-L3750CDW,2022-07-13 08:38:46.673072
E74552J6J693052,172.20.20.65,Brother,MFC-9142CDN,2022-07-13 08:38:48.212185
E74555E8J891679,172.20.20.67,Brother,MFC-9342CDW,2022-07-13 08:38:49.892692
E74552J5J989713,172.20.20.95,Brother,MFC-9142CDN,2022-07-13 08:38:51.596149
E74552C6J373779,172.20.20.66,Brother,MFC-9142CDN,2022-07-13 08:38:53.234020
E74555E8J891717,172.20.21.15,Brother,MFC-9342CDW,2022-07-13 08:38:54.876934
E79028D1N412406,192.168.202.64,Brother,MFC-L3750CDW,2022-07-13 08:38:55.429023
RC68Y02592,172.20.22.94,Kyocera,ECOSYS M6635cidn,2022-07-13 08:38:55.622738
RC68600835,172.20.22.110,Kyocera,ECOSYS M6635cidn,2022-07-12 16:38:16.964768
E79028A1N380410,172.20.20.87,Brother,MFC-L3750CDW,2022-07-13 08:39:01.928379
E79015J0N198445,172.20.22.83,Brother,DCP-L3510CDW,2022-07-12 11:35:03.683672
E74552D6J442270,172.20.22.188,Brother,MFC-9142CDN,2022-07-13 08:39:09.503594
Q630304940,172.20.10.107,Kyocera,FS-1320D,2022-04-06 10:55:04.660272
E79028F1N485593,172.20.10.52,Brother,MFC-L3750CDW,2022-07-13 08:39:15.854496
E69498J1J225635,172.20.10.100,Brother,MFC-9460CDN,2022-07-13 08:39:27.669143
E79028J1N591625,172.20.10.62,Brother,MFC-L3750CDW,2022-07-13 08:39:27.959688
