TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
50,20,10,10,3454,4636,3377,463,Energiesparen ,2022-01-04 09:05:51.946889
50,20,10,10,3454,4636,3381,463,Bereit,2022-01-04 09:49:18.038530
50,20,10,10,3454,4640,3383,463,Bereit,2022-01-04 10:21:54.456382
50,20,10,10,3485,4696,3442,463,Wenig Toner :Y,2022-01-06 12:27:55.553590
50,20,10,10,3485,4696,3442,463,Wenig Toner :Y,2022-01-06 13:58:25.838212
50,20,10,10,3485,4704,3442,463,Wenig Toner :Y,2022-01-06 15:30:05.892901
40,20,10,10,3498,4713,3484,463,Wenig Toner :Y,2022-01-12 08:24:08.076280
40,20,10,10,3498,4721,3484,467,Wenig Toner :Y,2022-01-12 09:01:52.645330
40,20,10,10,3498,4721,3484,467,Wenig Toner :Y,2022-01-12 09:37:10.803741
40,20,10,10,3510,4722,3490,467,Wenig Toner :Y,2022-01-12 10:12:46.307878
40,20,10,10,3510,4722,3490,467,Wenig Toner :Y,2022-01-12 10:48:25.278288
40,20,10,10,3510,4723,3490,467,Wenig Toner :Y,2022-01-12 11:24:04.946238
40,20,10,0,3511,4738,3490,467,Wenig Toner :Y,2022-01-12 12:03:24.035849
40,20,10,0,3511,4738,3490,467,Wenig Toner :Y,2022-01-12 12:39:10.521753
40,20,10,0,3513,4742,3497,467,Wenig Toner :Y,2022-01-13 14:19:37.232978
40,20,10,0,3513,4742,3497,467,Wenig Toner :Y,2022-01-13 14:55:23.152243
40,20,10,0,3514,4743,3497,467,Wenig Toner :Y,2022-01-13 15:31:27.080904
40,20,10,0,3515,4745,3500,467,Wenig Toner :Y,2022-01-14 09:15:09.620917
40,20,10,0,3515,4745,3500,467,Wenig Toner :Y,2022-01-14 09:51:58.725141
40,20,10,0,3515,4745,3505,467,Wenig Toner :Y,2022-01-14 10:27:36.136740
40,20,10,0,3516,4745,3505,467,Wenig Toner :Y,2022-01-14 11:02:52.984325
40,10,10,0,3528,4749,3507,467,Wenig Toner :Y,2022-01-14 11:38:25.729335
40,10,10,0,3530,4750,3509,467,Wenig Toner :Y,2022-01-14 12:15:54.626059
40,10,10,0,3530,4750,3509,467,Wenig Toner :Y,2022-01-14 14:39:41.825845
40,10,10,0,3530,4755,3509,467,Wenig Toner :M,2022-01-18 08:40:16.186410
40,10,10,0,3530,4755,3515,467,Wenig Toner :M,2022-01-18 09:49:12.723243
40,10,10,0,3534,4759,3515,467,Wenig Toner :M,2022-01-18 12:15:34.090860
40,10,10,0,3538,4759,3515,467,Wenig Toner :M,2022-01-18 13:57:00.413791
40,10,10,0,3539,4759,3517,467,Wenig Toner :M,2022-01-19 07:47:39.562520
40,10,10,0,3541,4759,3517,467,Wenig Toner :M,2022-01-19 08:24:26.848218
40,10,10,0,3541,4762,3517,467,Wenig Toner :M,2022-01-19 09:01:18.174210
40,10,10,0,3545,4770,3526,467,Wenig Toner :M,2022-01-20 10:03:24.376947
40,10,10,0,3545,4770,3531,467,Wenig Toner :M,2022-01-20 11:14:40.502483
40,10,10,0,3545,4770,3535,467,Wenig Toner :M,2022-01-20 13:00:52.597920
40,10,10,0,3547,4771,3535,467,Wenig Toner :M,2022-01-20 13:36:17.759681
40,10,10,0,3548,4771,3535,467,Wenig Toner :M,2022-01-20 14:11:29.991682
40,10,10,0,3548,4774,3535,467,Wenig Toner :M,2022-01-20 14:46:38.665022
40,10,0,0,3548,4776,3538,467,Wenig Toner :M,2022-01-20 15:21:56.493859
30,10,0,0,3556,4787,3542,467,Wenig Toner :C,2022-01-25 08:12:59.681462
30,10,0,0,3560,4792,3542,467,Wenig Toner :C,2022-01-25 09:10:05.040196
30,10,0,0,3560,4792,3542,467,Bitte warten,2022-01-25 09:23:36.068203
30,10,0,0,3564,4792,3544,467,Wenig Toner :C,2022-01-25 11:44:40.064421
30,10,0,0,3564,4792,3547,467,Wenig Toner :C,2022-01-25 12:08:36.747282
30,10,0,0,3566,4795,3547,467,Wenig Toner :C,2022-01-25 12:33:28.888316
30,10,0,0,3567,4797,3547,467,Wenig Toner :C,2022-01-25 13:44:49.362426
30,100,100,100,3586,4813,3556,467,Bereit,2022-01-26 11:50:52.849126
30,100,100,100,3586,4813,3556,467,Energiesparen ,2022-01-26 13:02:06.390858
30,100,100,100,3586,4813,3559,467,Energiesparen ,2022-01-26 13:37:39.586354
30,100,100,100,3586,4813,3560,467,Energiesparen ,2022-01-26 14:13:01.729469
30,100,100,100,3587,4816,3560,467,Energiesparen ,2022-01-26 15:23:59.873423
30,100,100,100,3587,4816,3563,467,Bereit,2022-01-26 15:59:44.880282
30,100,100,100,3615,4828,3564,467,Energiesparen ,2022-01-31 14:00:22.060641
10,80,80,90,3879,5234,3597,467,Wenig Toner :BK ,2022-02-07 15:00:20.802741
100,80,80,90,3888,5265,3610,467,Energiesparen ,2022-02-15 09:25:50.737188
100,80,80,90,3944,5286,3637,467,Energiesparen ,2022-03-10 16:21:06.141633
90,80,70,90,3953,5312,3637,467,Energiesparen ,2022-03-15 15:02:52.429154
90,80,70,90,3959,5312,3637,467,Bereit,2022-03-15 15:08:56.403181
90,80,70,90,3959,5312,3639,467,Bereit,2022-03-15 15:15:01.806442
90,80,70,90,3959,5312,3664,467,Bereit,2022-03-15 15:21:05.452135
90,80,70,90,3959,5312,3664,467,Energiesparen ,2022-03-15 16:22:48.404256
90,80,70,80,3987,5322,3671,467,Energiesparen ,2022-03-16 12:44:46.924146
90,80,70,80,3988,5324,3671,467,Bereit,2022-03-16 12:54:17.924120
90,70,70,80,3988,5326,3671,467,Energiesparen ,2022-03-16 16:04:34.000155
90,70,70,80,3989,5326,3671,467,Bereit,2022-03-16 16:09:39.556225
90,70,70,80,3989,5326,3671,467,Energiesparen ,2022-03-16 16:29:32.064123
80,70,70,80,4145,5371,3713,471,Energiesparen ,2022-03-22 14:22:18.817346
80,70,70,80,4147,5382,3735,471,Energiesparen ,2022-03-23 11:18:39.569370
80,70,70,80,4153,5389,3737,471,Energiesparen ,2022-03-24 14:21:50.410171
70,70,70,80,4169,5411,3764,471,Energiesparen ,2022-03-29 09:10:11.071705
