TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
94,NaN,NaN,NaN,138132,NaN,5921,NaN,Ruhemodus...  ,2021-12-22 13:46:09.133263
93,NaN,NaN,NaN,138285,NaN,5922,NaN,Ruhemodus...  ,2021-12-28 12:59:32.998919
93,NaN,NaN,NaN,138285,NaN,5922,NaN,Ruhemodus...  ,2021-12-29 13:10:45.994952
93,NaN,NaN,NaN,138297,NaN,5922,NaN,Ruhemodus...  ,2021-12-29 13:40:45.250466
93,NaN,NaN,NaN,138301,NaN,5922,NaN,Ruhemodus...  ,2021-12-29 14:10:46.877647
93,NaN,NaN,NaN,138302,NaN,5922,NaN,Ruhemodus...  ,2021-12-29 15:10:44.183570
93,NaN,NaN,NaN,138303,NaN,5922,NaN,Ruhemodus...  ,2021-12-29 16:10:42.367662
92,NaN,NaN,NaN,138592,NaN,5927,NaN,Ruhemodus...  ,2021-12-30 15:23:55.801898
91,NaN,NaN,NaN,138807,NaN,5927,NaN,Ruhemodus...  ,2022-01-03 08:29:27.244971
91,NaN,NaN,NaN,138807,NaN,5927,NaN,Ruhemodus...  ,2022-01-03 09:30:09.308095
91,NaN,NaN,NaN,138811,NaN,5927,NaN,Ruhemodus...  ,2022-01-03 10:00:19.143448
91,NaN,NaN,NaN,138896,NaN,5927,NaN,Ruhemodus...  ,2022-01-03 10:30:09.689837
91,NaN,NaN,NaN,138904,NaN,5927,NaN,Ruhemodus...  ,2022-01-03 11:00:11.674485
91,NaN,NaN,NaN,138914,NaN,5927,NaN,Ruhemodus...  ,2022-01-03 11:30:12.812136
91,NaN,NaN,NaN,138915,NaN,5927,NaN,Ruhemodus...  ,2022-01-03 12:55:06.819316
91,NaN,NaN,NaN,138952,NaN,5927,NaN,Ruhemodus...  ,2022-01-04 09:04:12.525417
91,NaN,NaN,NaN,138960,NaN,5927,NaN,Ruhemodus...  ,2022-01-04 09:47:22.948196
91,NaN,NaN,NaN,138966,NaN,5927,NaN,Ruhemodus...  ,2022-01-04 10:17:35.367642
88,NaN,NaN,NaN,139809,NaN,5932,NaN,Ruhemodus...  ,2022-01-06 12:26:42.370030
88,NaN,NaN,NaN,139809,NaN,5932,NaN,Ruhemodus...  ,2022-01-06 12:56:58.875059
88,NaN,NaN,NaN,139813,NaN,5932,NaN,Ruhemodus...  ,2022-01-06 15:29:01.471875
85,NaN,NaN,NaN,140687,NaN,5944,NaN,Ruhemodus...  ,2022-01-12 08:20:50.955001
85,NaN,NaN,NaN,140693,NaN,5944,NaN,Ruhemodus...  ,2022-01-12 08:57:04.734742
85,NaN,NaN,NaN,140701,NaN,5944,NaN,Ruhemodus...  ,2022-01-12 09:33:57.100577
85,NaN,NaN,NaN,140708,NaN,5944,NaN,Ruhemodus...  ,2022-01-12 10:09:25.710411
85,NaN,NaN,NaN,140722,NaN,5944,NaN,Ruhemodus...  ,2022-01-12 12:35:45.900864
82,NaN,NaN,NaN,141176,NaN,5944,NaN,Ruhemodus...  ,2022-01-13 14:16:10.297831
82,NaN,NaN,NaN,141178,NaN,5944,NaN,Ruhemodus...  ,2022-01-13 14:52:01.399770
82,NaN,NaN,NaN,141180,NaN,5944,NaN,Ruhemodus...  ,2022-01-13 15:27:49.925251
74,NaN,NaN,NaN,142876,NaN,5944,NaN,Ruhemodus...  ,2022-01-14 09:11:36.831662
74,NaN,NaN,NaN,142876,NaN,5944,NaN,Ruhemodus...  ,2022-01-14 10:24:14.224715
74,NaN,NaN,NaN,142877,NaN,5944,NaN,Ruhemodus...  ,2022-01-14 10:59:38.614795
74,NaN,NaN,NaN,142887,NaN,5944,NaN,Ruhemodus...  ,2022-01-14 13:24:08.657259
74,NaN,NaN,NaN,142893,NaN,5946,NaN,Fertig.,2022-01-14 13:59:43.245192
74,NaN,NaN,NaN,142894,NaN,5946,NaN,Ruhemodus...  ,2022-01-14 14:36:30.244086
72,NaN,NaN,NaN,143349,NaN,5974,NaN,Ruhemodus...  ,2022-01-18 08:36:32.519952
72,NaN,NaN,NaN,143350,NaN,5974,NaN,Ruhemodus...  ,2022-01-18 12:12:08.629181
72,NaN,NaN,NaN,143353,NaN,5974,NaN,Ruhemodus...  ,2022-01-18 13:53:19.434273
72,NaN,NaN,NaN,143367,NaN,5974,NaN,Ruhemodus...  ,2022-01-19 07:44:05.465055
72,NaN,NaN,NaN,143374,NaN,5974,NaN,Ruhemodus...  ,2022-01-19 08:19:35.599488
72,NaN,NaN,NaN,143375,NaN,5974,NaN,Ruhemodus...  ,2022-01-19 08:56:31.107085
