TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
67,64,77,56,9224,58487,54970,27561,Ruhemodus...,2021-12-28 15:32:35.078589
67,64,77,56,9224,58487,54970,27561,Ruhemodus...,2021-12-29 11:10:25.104913
67,64,77,56,9224,58487,54973,27561,Bereit,2021-12-29 11:40:22.625280
67,64,77,56,9224,58487,54973,27561,Ruhemodus...,2022-01-03 11:29:49.700613
67,64,77,56,9224,58487,54973,27581,Ruhemodus...,2022-01-06 13:28:14.559013
67,64,77,56,9224,58503,54973,27581,Ruhemodus...,2022-01-06 15:30:01.718135
66,63,76,55,9224,58592,55139,27651,Ruhemodus...,2022-01-12 08:20:56.497019
66,63,76,55,9224,58592,55139,27651,Ruhemodus...,2022-01-12 12:35:58.031406
66,63,75,54,9224,58592,55141,27674,Ruhemodus...,2022-01-13 14:16:15.994167
66,63,75,54,9224,58592,55141,27674,Ruhemodus...,2022-01-13 15:27:58.921152
66,63,75,54,9224,58612,55141,27674,Ruhemodus...,2022-01-14 09:48:36.733050
66,63,75,54,9224,58612,55141,27674,Ruhemodus...,2022-01-14 11:35:07.919833
65,63,75,54,9301,58612,55141,27674,Energiesparmodus,2022-01-14 12:11:55.945861
65,63,75,54,9301,58612,55141,27674,Ruhemodus...,2022-01-14 14:36:36.652845
65,63,75,54,9301,58659,55153,27699,Ruhemodus...,2022-01-18 09:45:46.301652
65,63,75,54,9301,58659,55153,27699,Ruhemodus...,2022-01-18 09:55:21.360404
64,61,74,53,9449,59101,55153,27699,Vorbereitung fü,2022-01-18 11:36:30.442031
63,61,74,52,9502,59262,55153,27699,Ruhemodus...,2022-01-18 12:12:15.146180
62,60,72,50,9602,59562,55153,27699,Ruhemodus...,2022-01-18 12:47:51.325907
62,60,72,50,9602,59562,55153,27699,Energiesparmodus,2022-01-18 12:54:32.664389
61,59,71,49,9682,59802,55153,27699,Energiesparmodus,2022-01-18 13:17:59.492825
61,59,71,49,9682,59802,55153,27699,Ruhemodus...,2022-01-18 13:53:27.834277
61,59,71,49,9687,59804,55153,27699,Ruhemodus...,2022-01-19 08:57:43.393695
61,59,71,49,9691,59804,55201,27740,Ruhemodus...,2022-01-20 15:18:42.614155
60,59,71,49,9705,59812,55353,27740,Ruhemodus...,2022-01-25 10:17:29.598738
60,59,71,49,9705,59813,55353,27740,Ruhemodus...,2022-01-25 11:27:33.778537
60,59,71,49,9705,59813,55353,27740,Bereit,2022-01-25 11:41:38.991566
60,59,71,49,9705,59813,55353,27740,Ruhemodus...,2022-01-25 12:30:36.289696
60,59,71,49,9705,59815,55353,27740,Ruhemodus...,2022-01-25 13:05:36.742746
