TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
90,40,40,30,593,2453,654,430,Energiesparen,2022-01-06 13:00:09.972968
90,40,40,30,593,2455,654,430,Energiesparen,2022-01-06 15:30:34.187441
90,40,40,30,593,2459,706,430,Kein Papier Z1,2022-01-12 08:24:47.397124
90,40,40,30,593,2459,706,430,Kein Papier Z1,2022-01-12 12:39:42.950960
90,40,30,30,593,2482,706,430,Energiesparen,2022-01-13 14:20:05.824807
90,40,30,30,593,2482,706,430,Energiesparen,2022-01-13 15:32:06.305011
90,40,30,30,593,2490,706,430,Energiesparen,2022-01-14 13:28:00.964214
90,40,30,30,593,2492,706,430,Energiesparen,2022-01-14 14:40:08.037127
90,40,30,30,593,2525,720,430,Energiesparen,2022-01-18 08:40:57.028408
90,40,30,30,593,2525,720,430,Energiesparen,2022-01-20 15:22:27.436312
90,30,30,30,593,2672,720,430,Energiesparen,2022-01-25 13:45:21.569024
90,30,30,30,593,2674,720,430,Energiesparen,2022-01-26 16:00:21.908814
90,30,30,20,595,2680,723,436,Ausdruck,2022-01-31 08:17:34.181769
90,30,30,20,596,2681,723,436,Energiesparen,2022-01-31 14:01:09.988728
90,30,30,20,597,2682,723,436,Energiesparen,2022-02-07 15:01:00.676016
90,30,30,20,601,2705,727,436,Energiesparen,2022-02-15 09:26:24.638044
80,30,20,20,615,2802,767,436,Energiesparen,2022-02-22 07:56:11.539447
80,30,20,20,615,2803,767,436,Energiesparen,2022-02-22 08:31:23.810467
80,20,20,20,617,2811,767,436,Energiesparen,2022-02-22 10:17:07.041236
80,20,20,20,644,2825,795,436,Energiesparen,2022-02-23 15:36:59.032661
70,100,100,100,669,2897,805,438,Energiesparen,2022-03-04 11:51:19.742093
60,100,100,100,687,3051,824,439,Energiesparen,2022-03-10 10:21:10.065093
60,100,100,100,689,3052,824,439,Energiesparen,2022-03-10 10:55:53.579492
60,100,100,100,691,3054,824,439,Bereit,2022-03-10 11:02:13.889088
60,100,100,100,691,3054,824,439,Energiesparen,2022-03-10 11:28:24.255117
60,100,100,100,691,3055,824,439,Energiesparen,2022-03-10 13:43:45.940690
60,100,100,100,691,3055,824,439,Bereit,2022-03-10 13:51:24.995674
60,100,100,100,691,3055,826,441,Energiesparen,2022-03-10 16:21:32.610441
60,100,100,100,705,3072,826,441,Energiesparen,2022-03-15 16:23:18.317702
60,100,100,100,760,3072,826,441,Energiesparen,2022-03-16 12:39:23.877361
60,100,100,100,771,3072,826,441,Energiesparen,2022-03-16 12:44:49.579835
60,100,100,100,771,3072,830,441,Energiesparen,2022-03-16 14:34:25.331756
60,100,100,100,782,3072,830,441,Energiesparen,2022-03-16 15:09:37.010797
60,100,100,100,785,3072,830,441,Energiesparen,2022-03-16 16:29:34.536375
50,100,90,90,806,3116,830,446,Energiesparen,2022-03-23 10:58:34.579319
50,100,90,90,806,3119,830,446,Bereit,2022-03-23 11:03:35.277736
50,100,90,90,806,3119,830,446,Energiesparen,2022-03-23 11:08:35.596745
50,100,90,90,806,3122,830,446,Energiesparen,2022-03-23 11:18:42.213268
50,100,90,90,816,3122,830,446,Energiesparen,2022-03-24 14:21:54.220998
50,100,90,90,830,3125,830,446,Energiesparen,2022-03-29 12:15:15.906996
50,100,90,90,830,3131,830,446,Kein Papier Z1,2022-03-29 16:52:13.768293
50,100,90,90,830,3132,830,446,Energiesparen,2022-03-30 10:31:09.003853
50,100,90,90,851,3132,830,446,Ausdruck,2022-03-30 10:36:00.757815
50,100,90,90,865,3132,830,446,Energiesparen,2022-03-30 14:05:02.710020
