TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
60,40,30,40,7344,12858,6022,1599,Energiesparen ,2022-01-04 09:46:29.360258
60,40,30,40,7344,12862,6022,1599,Energiesparen ,2022-01-04 10:16:33.953502
50,30,30,30,7344,12880,6091,1637,Energiesparen ,2022-01-06 12:26:09.939986
50,30,30,30,7344,12880,6091,1637,Energiesparen ,2022-01-06 15:26:32.128185
50,30,30,30,7346,12892,6095,1637,Energiesparen ,2022-01-12 08:23:34.439868
50,30,30,30,7346,12892,6095,1637,Energiesparen ,2022-01-12 11:23:32.984943
50,30,30,30,7346,12895,6095,1637,Bereit,2022-01-12 12:02:45.004058
50,30,30,30,7346,12895,6095,1637,Energiesparen ,2022-01-13 15:30:46.807954
50,30,30,30,7346,12896,6095,1637,Energiesparen ,2022-01-14 12:15:11.236839
50,30,30,30,7348,12896,6095,1637,Energiesparen ,2022-01-14 14:39:07.017169
50,30,20,30,7356,12906,6100,1643,Energiesparen ,2022-01-18 08:39:32.938409
50,30,20,30,7356,12906,6100,1643,Energiesparen ,2022-01-18 12:14:57.857177
50,30,20,30,7356,12907,6100,1643,Energiesparen ,2022-01-18 13:56:27.082792
50,30,20,30,7356,12909,6100,1643,Energiesparen ,2022-01-19 09:00:35.182260
50,30,20,30,7358,12968,6100,1643,Energiesparen ,2022-01-20 11:13:56.687378
50,30,20,30,7358,12973,6100,1643,Energiesparen ,2022-01-20 12:24:46.285441
50,30,20,30,7359,12973,6100,1643,Energiesparen ,2022-01-20 13:00:15.301591
50,30,20,30,7359,12976,6100,1643,Bereit,2022-01-20 13:35:49.367555
50,30,20,30,7359,12976,6100,1643,Energiesparen ,2022-01-20 15:21:20.207514
40,30,20,30,7399,12994,6105,1643,Energiesparen ,2022-01-25 09:58:42.915885
40,30,20,30,7399,12996,6105,1643,Bereit,2022-01-25 10:19:56.296539
40,30,20,30,7399,12996,6105,1643,Energiesparen ,2022-01-25 13:44:13.848909
