TonerBK,TonerC,TonerM,TonerY,Printed_BW,Printed_BCYM,Copied_BW,Copied_BCYM,Status_Report,Time_Stamp
80,50,50,50,767,2609,262,32,Energiesparen,2022-01-07 13:44:00.108081
80,50,50,50,769,2609,262,32,Energiesparen,2022-01-07 13:53:51.359542
80,50,50,50,770,2611,264,32,Bereit,2022-01-07 14:04:38.279453
80,50,50,50,770,2611,264,32,Energiesparen,2022-01-07 14:59:08.429002
70,50,50,50,801,2677,266,35,Energiesparen,2022-01-11 09:55:05.998230
70,50,50,50,802,2677,266,35,Bereit,2022-01-11 09:59:47.027824
70,50,50,50,804,2677,266,35,Energiesparen,2022-01-11 10:04:28.212064
70,50,50,50,804,2677,266,35,Energiesparen,2022-01-11 10:13:32.088058
70,50,50,50,812,2700,266,35,Energiesparen,2022-01-11 12:08:57.011319
70,50,50,50,812,2700,266,35,Energiesparen,2022-01-11 14:45:41.046600
70,50,50,50,812,2701,266,35,Energiesparen,2022-01-11 14:55:12.873757
70,50,50,50,812,2702,266,35,Bereit,2022-01-11 14:59:54.609069
70,50,50,50,812,2703,266,35,Bereit,2022-01-11 15:04:35.199793
70,50,50,50,812,2704,266,35,Bereit,2022-01-11 15:09:27.008240
70,50,50,50,812,2714,266,35,Bereit,2022-01-11 15:14:12.118731
70,50,50,50,812,2715,266,35,Energiesparen,2022-01-11 15:18:55.584785
70,50,50,50,812,2715,266,35,Energiesparen,2022-01-11 15:28:45.395825
70,50,50,50,814,2720,267,35,Energiesparen,2022-01-12 08:25:39.731739
70,50,50,50,814,2721,267,35,Energiesparen,2022-01-12 09:03:05.184371
70,50,50,50,815,2723,267,35,Energiesparen,2022-01-12 09:38:31.492887
70,50,50,50,815,2723,267,35,Energiesparen,2022-01-12 10:13:58.397249
70,50,50,50,815,2723,267,36,Energiesparen,2022-01-12 10:49:46.094844
70,50,50,40,815,2771,267,36,Energiesparen,2022-01-12 11:25:22.123486
70,50,40,40,816,2775,267,36,Bitte warten,2022-01-12 12:04:55.996148
70,50,40,40,818,2777,267,36,Energiesparen,2022-01-12 12:40:38.545214
70,50,40,40,818,2787,270,36,Bereit,2022-01-12 13:58:17.856839
70,50,40,40,818,2787,270,36,Energiesparen,2022-01-12 14:33:09.797493
70,50,40,40,818,2789,270,36,Energiesparen,2022-01-12 15:07:51.139556
70,50,40,40,819,2795,270,36,Energiesparen,2022-01-12 15:42:37.499015
70,50,40,40,819,2795,270,36,Energiesparen,2022-01-12 16:26:59.172458
70,50,40,40,820,2804,270,36,Energiesparen,2022-01-13 09:58:11.452957
70,40,40,40,821,2813,270,36,Energiesparen,2022-01-13 10:44:21.604948
70,40,40,40,821,2813,270,36,Energiesparen,2022-01-13 12:35:57.601377
70,40,40,40,821,2814,270,36,Energiesparen,2022-01-13 13:10:48.161446
70,40,40,40,821,2817,270,36,Energiesparen,2022-01-13 13:45:23.852949
70,40,40,40,821,2818,270,36,Energiesparen,2022-01-13 14:21:09.273681
70,40,40,40,822,2820,270,36,Bereit,2022-01-13 14:56:45.422038
70,40,40,40,822,2828,270,37,Energiesparen,2022-01-13 15:33:38.326949
70,40,40,40,822,2829,270,37,Energiesparen,2022-01-13 16:08:34.683662
70,40,40,40,822,2838,270,37,Energiesparen,2022-01-14 10:28:52.419219
70,40,40,40,822,2839,270,37,Energiesparen,2022-01-14 11:04:08.751644
70,40,40,40,822,2847,270,37,Energiesparen,2022-01-14 11:39:44.917835
70,40,40,40,822,2849,270,37,Energiesparen,2022-01-14 12:17:18.792953
70,40,40,40,822,2852,270,37,Energiesparen,2022-01-14 12:53:00.978252
70,40,40,40,822,2853,270,37,Energiesparen,2022-01-14 13:28:59.680981
70,40,40,40,822,2855,270,37,Energiesparen,2022-01-14 14:05:38.464059
70,40,40,40,823,2856,271,37,Energiesparen,2022-01-14 14:41:01.691616
60,40,40,40,823,2897,276,37,Energiesparen,2022-01-17 12:23:19.053952
60,40,40,40,823,2898,276,37,Energiesparen,2022-01-17 13:33:18.489487
60,40,40,40,823,2899,276,37,Energiesparen,2022-01-17 15:16:30.042098
60,40,40,40,823,2901,276,37,Bitte warten,2022-01-17 15:51:25.516320
60,40,40,40,823,2902,276,37,Energiesparen,2022-01-17 16:26:21.993377
